date_time,totalprecip_mm,avgvis_km,temp_c,wind_kph,pressure_in,humidity,pm2_5,pm10,o3,no2,so2,co
2021-02-16,0.0,10.0,20.5,6.17,29.93,85.0,35.8,25.6,35.0,1.0,6.0,3.0
2021-02-17,1.3,10.0,20.5,10.47,30.07,86.0,37.6,26.4,35.0,1.0,6.0,4.0
2021-02-18,2.0,10.0,19.3,11.69,30.16,86.0,39.4,27.2,30.0,1.0,6.0,3.0
2021-02-19,1.7,9.9,18.5,9.18,30.18,85.0,41.2,28.0,37.0,1.0,6.0,4.0
2021-02-20,0.0,10.0,18.7,6.33,30.09,79.0,43.0,38.0,38.0,1.0,6.0,4.0
2021-02-21,0.0,10.0,19.4,7.47,29.99,82.0,62.0,24.0,36.0,1.0,6.0,5.0
2021-02-22,0.0,10.0,20.1,7.16,29.93,84.0,36.0,21.0,34.0,1.0,6.0,4.0
2021-02-23,0.0,10.0,20.5,5.88,29.92,84.0,30.0,20.0,35.0,1.0,6.0,5.0
2021-02-24,0.0,9.8,21.4,8.65,29.83,83.0,29.0,18.0,32.0,1.0,6.0,4.0
2021-02-25,0.0,8.2,22.8,8.5,29.73,81.0,28.0,15.0,41.0,1.0,6.0,4.0
2021-02-26,0.0,9.0,23.2,6.92,29.71,85.0,21.0,19.0,27.0,1.0,6.0,4.0
2021-02-27,8.1,6.5,22.5,9.19,29.83,87.0,32.0,16.0,29.0,1.0,6.0,4.0
2021-02-28,2.9,7.7,22.9,9.26,29.86,87.0,32.0,12.0,24.0,1.0,6.0,4.0
2021-03-01,2.0,6.8,23.3,6.72,29.9,90.0,17.0,23.0,16.0,1.0,6.0,2.0
2021-03-02,13.8,3.3,20.7,11.55,29.98,92.0,37.0,14.0,16.0,1.0,6.0,4.0
