date,pm2.5,pm10,o3,no2,so2,co
2015-11-13,,,60,8,,10
2015-11-14,,,60,10,,12
2015-11-15,,,62,7,,6
2015-11-16,,,58,9,,8
2015-11-17,,,52,8,,8
2015-11-18,,,61,,,
2015-11-19,,,,10,,4
2015-11-20,,,35,10,,13
2015-11-21,,,46,9,,9
2015-11-22,,,37,8,,5
2015-11-23,,,40,13,,13
2015-11-24,,,44,9,,8
2015-11-25,,,49,7,,7
2015-11-26,,,47,9,,7
2015-11-27,,,45,11,,7
2015-11-28,,,37,11,,12
2015-11-29,,,41,10,,6
2015-11-30,,,34,10,,8
2015-12-01,,,26,10,,9
2015-12-02,,,30,11,,8
2015-12-03,,,26,13,,15
2015-12-04,,,24,10,,7
2015-12-05,,,30,11,,12
2015-12-06,,,21,,,
2015-12-07,,,,,,
2015-12-08,,,,,,
2015-12-09,,,,7,,3
2015-12-10,,,15,8,,4
2015-12-11,,,28,14,,9
2015-12-12,,,35,,,
2015-12-13,,,,,,
2015-12-14,,,,,,
2015-12-15,,,,,,
2015-12-16,,,,,,
2015-12-17,,,,,,
2015-12-18,,,,,,
2015-12-19,,,,,,
2015-12-20,,,,,,
2015-12-21,,,,,,
2015-12-22,,,,,,
2015-12-23,,,,15,,0
2015-12-24,,,21,11,,0
2015-12-25,,,27,9,,0
2015-12-26,,,22,7,,0
2015-12-27,,,27,6,,0
2015-12-28,,,34,10,,0
2015-12-29,,,31,14,,0
2015-12-30,,,27,10,,0
2015-12-31,,,24,,,
2016-01-01,,,,,,
2016-01-02,,,,,,
2016-01-03,,,,,,
2016-01-04,,,,,,
2016-01-05,,,38,10,,0
2016-01-06,,,25,13,,0
2016-01-07,,,,,,
2016-01-08,,,,,,
2016-01-09,,,,,,
2016-01-10,,,19,7,,0
2016-01-11,,,30,9,,0
2016-01-12,,,29,21,,0
2016-01-13,,,,,,
2016-01-14,,,,,,
2016-01-15,,,,,,
2016-01-16,,,,,,
2016-01-17,,,,,,
2016-01-18,,,,,,
2016-01-19,,,16,5,,
2016-01-20,,,25,8,,
2016-01-21,,,36,8,,
2016-01-22,,,28,15,,
2016-01-23,,,34,10,,
2016-01-24,,,25,6,,
2016-01-25,,,27,5,,
2016-01-26,,,24,10,,
2016-01-27,,,28,13,,
2016-01-28,,,25,12,,
2016-01-29,,,23,13,,
2016-01-30,,,,,,
2016-01-31,,,,,,
2016-02-01,,,,,,
2016-02-02,,,,,,
2016-02-03,,,,,,
2016-02-04,,,,,,
2016-02-05,,,,,,
2016-02-06,,,,,,
2016-02-07,,,,,,
2016-02-08,,,35,15,,
2016-02-09,,,45,13,,
2016-02-10,,,27,16,,
2016-02-11,,,29,15,,
2016-02-12,,,31,11,,
2016-02-13,,,29,8,,
2016-02-14,,,37,14,,
2016-02-15,,,42,12,,
2016-02-16,,,29,8,,
2016-02-17,,,24,11,,
2016-02-18,,,33,8,,
2016-02-19,,,35,8,,
2016-02-20,,,38,13,,
2016-02-21,,,36,9,,
2016-02-22,,,47,14,,
2016-02-23,,,41,18,,
2016-02-24,,,30,11,,
2016-02-25,,,23,8,,
2016-02-26,,,27,7,,
2016-02-27,,,26,9,,
2016-02-28,,,34,8,,
2016-02-29,,,38,7,,
2016-03-01,,,44,9,,
2016-03-02,,,41,18,,
2016-03-03,,,,,,
2016-03-04,,,,,,
2016-03-05,,,3,22,,
2016-03-06,,,,,,
2016-03-07,,,,,,
2016-03-08,,,,,,
2016-03-09,,,,,,
2016-03-10,,,,,,
2016-03-11,,7,,,,
2016-03-12,20,13,13,9,,
2016-03-13,36,17,32,13,,
2016-03-14,53,12,33,9,,
2016-03-15,39,22,37,8,,
2016-03-16,64,21,35,13,,
2016-03-17,65,20,38,10,,
2016-03-18,62,20,30,10,,
2016-03-19,64,19,31,11,,
2016-03-20,59,21,35,11,,
2016-03-21,60,17,30,9,,
2016-03-22,55,17,30,11,,
2016-03-23,54,20,28,10,,
2016-03-24,58,19,34,11,,
2016-03-25,57,4,30,8,,
2016-03-26,11,7,20,6,,
2016-03-27,23,7,32,9,,
2016-03-28,28,28,35,12,,
2016-03-29,77,27,40,21,,
2016-03-30,74,24,38,16,,
2016-03-31,67,,22,16,,
2016-04-01,,,,,,
2016-04-02,,,,,,
2016-04-03,,,,,,
2016-04-04,,,,,,
2016-04-05,,12,21,7,,
2016-04-06,45,14,26,10,,
2016-04-07,49,16,33,11,,
2016-04-08,55,13,28,9,,
2016-04-09,49,13,30,10,,
